SampleID	CONTIG COUNT	TOTAL LENGTH	MIN	MAX	MEDIAN	MEAN	L50	N50	L90	N90	GC%	T2T SCAFFOLDS	TELOMERE FWD	TELOMERE REV	BUSCO_Complete	BUSCO_Single	BUSCO_Duplicate	BUSCO_Fragmented	BUSCO_Missing	BUSCO_NumGenes	Mapped_reads	Average_Coverage
HISSP-FGDEE2016	566	10120156	500	151036	7600	17880.13	73	42492	256	9322	37.83	0	4	4	18.3	18.2	0.1	0.1	81.6	3546	6654535	82.9
HISSP-FGDAS2062	887	10816505	500	164897	4920	12194.48	93	30641	375	7010	37.71	0	7	2	19.1	19.1	0	0.1	80.8	3546	13940879	162.4
HISSP-FGCRI2041	1046	11094872	500	196164	1991	10606.95	86	36132	351	6759	37.71	0	10	4	17.9	17.8	0.1	0.2	81.9	3546	7160652	81.3
HISSP-FGCLE2015	923	13353550	501	146959	5774	14467.55	106	39667	389	8046	38.84	0	8	9	28.2	28.1	0.1	0.1	71.7	3546	13083124	123.4
HISSP-FGCAN2034	267	11883907	508	625545	14614	44509.01	30	105913	99	37136	49.34	0	6	6	27.8	27.5	0.3	0.3	71.9	3546	4322846	54.6
HISSP-FGBRU0291	303	9794021	503	198419	22796	32323.5	54	58288	169	19389	39.93	0	5	1	24.6	24.6	0	0.1	75.3	3546	7067431	108.2
HISSP-FGBRU0291-uu	359	7963036	500	121849	11253	22181.16	54	51447	157	17077	35.93	0	5	1	14.8	14.8	0	0.1	85.1	3546	11188356	177
HISSP-FGBRE2013	1283	19281188	500	106025	7584	15028.21	182	33107	643	7568	40.49	0	12	5	47.9	47.8	0.1	0.2	51.9	3546	8512873	66.2
HISSP-FGBON2001	4398	30753906	332	117169	1479	6992.7	392	23783	1586	2974	41.92	0	19	12	81.5	81.5	0	0.6	17.9	3546	7307884	35.6
HISSP-FGBON2001-uu	684	10977127	500	156219	7768	16048.43	91	35527	337	8089	38.29	0	6	2	20.3	20.3	0	0.1	79.6	3546	7809645	89.6
HISSP-FGBIK2051	1521	23534554	500	178991	6420	15473.08	205	37976	630	10464	42.46	0	11	7	65	65	0	0.5	34.5	3546	6646986	42.4
HISSP-FGBEL2002	1463	18571981	501	148827	4276	12694.45	152	37962	596	6398	38.62	0	6	5	37.8	37.8	0	0.3	61.9	3546	10879011	87.9
HISSP-FGAME2039	4713	21366473	500	132999	1930	4533.52	444	11037	2572	1709	41.33	0	8	7	39.5	39.5	0	5.6	54.9	3546	16379014	96.6
HISSP-FGAMA2041	859	20307679	499	163452	15106	23641.07	152	42748	458	13937	41.93	1	6	1	54.3	54.2	0.1	0.3	45.4	3546	6686912	49.4
HISSP-FGAMA2041-uu	652	9737184	486	159521	6192	14934.33	76	37825	277	8606	37.18	0	3	4	17.8	17.8	0	0.1	82.1	3546	11369350	147.1
HISSP-FGAMA0346	285	13270053	481	385959	14221	46561.59	34	129867	105	42145	49.25	0	8	8	29.4	29.1	0.3	0.2	70.4	3546	4111058	46.5
HISSP-FGADA2079	476	12781076	502	164028	16518	26851	82	52301	252	15341	40.03	0	7	5	28.7	28.7	0	0.3	71	3546	7571723	88.9
HISSP-FGACO2005	392	11653522	506	194243	20213	29728.37	70	55939	208	18556	39.84	0	8	6	27.7	27.6	0.1	0.2	72.1	3546	6936268	89.3
HISSP-FGACO2005-uu	470	9920713	502	155746	10217	21107.9	71	46713	207	13926	37.76	0	5	8	21.1	21	0.1	0	78.9	3546	8267364	105
HISSP-CM7717	430	13903125	523	239201	22934	32332.85	80	55722	252	17896	37.08	0	3	6	32	32	0	0.1	67.9	3546	4090160	44.4
HISSP-CM7057	427	11804988	502	185603	17144	27646.34	72	56866	222	16522	37.9	0	6	6	25.7	25.6	0.1	0.1	74.2	3546	2724820	34.9
HISSP-CM5692	424	12097313	503	170016	17912	28531.4	68	57951	227	16013	37.61	0	5	9	23.9	23.9	0	0.1	76	3546	15280440	190.7
HISSP-CM5679	303	9282706	503	159015	20845	30635.99	56	57651	169	17572	35.52	0	4	6	15.8	15.8	0	0.1	84.1	3546	13274867	215.9
HISSP-A290302130	1141	7963945	500	142501	2047	6979.79	63	31024	465	2935	41.15	0	1	5	17	17	0	0.1	82.9	3546	5050494	79.9
HISSP-HC7090-S110	6	20572	1189	8201	3739	3428.67	2	4804	5	1246	37.72	0	0	0	0	0	0	0	100	3546	43207	264.6
HISSP-FGGRO2025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HISSP-CM8082	173	6419422	518	170529	26315	37106.49	30	61716	97	23116	35.86	0	6	4	10.7	10.7	0	0.1	89.2	3546	2909634	68.4
HISSP-CM8081	127	5913229	506	288823	29069	46560.86	22	82979	70	26354	35.49	0	6	4	10.4	10.4	0	0.1	89.5	3546	5703734	145.7
HISSP-CM8079	934	14942608	500	144572	7409	15998.51	110	39458	466	7427	39.28	0	5	14	34.3	34.3	0	0.1	65.6	3546	6538930	66.1
HISSP-CM7450	517	9005959	500	157885	6095	17419.65	60	48033	203	9339	38.79	0	6	5	15.3	15.3	0	0.1	84.6	3546	3394241	56.9
HISSP-CM7441	311	9076212	500	208269	18713	29183.96	49	60517	156	18713	39.25	0	6	3	16.4	16.4	0	0	83.6	3546	4152363	69.1
HISSP-CM6556	304	8825281	512	159243	21348	29030.53	56	53133	164	18846	40.73	0	2	2	20.3	20.3	0	0.1	79.6	3546	4505616	77.1
HISSP-CM6409	8054	12188307	500	124131	877	1513.32	1215	1922	5922	654	33.26	0	22	16	12.3	12.2	0.1	4.7	83	3546	4983583	61.7
HISSP-CM6408	2450	26008567	501	109849	6251	10615.74	385	21016	1307	5474	43.34	0	14	10	77.3	77.2	0.1	1	21.7	3546	2067054	12
HISSP-CM6306	556	10973732	501	158884	7375	19736.93	67	51888	230	12231	39.97	0	5	5	21.7	21.7	0	0.2	78.1	3546	2079869	28.6
HISSP-CM6305	426	13048751	509	284861	17720	30630.87	69	61250	219	16955	37.9	0	2	3	27.7	27.6	0.1	0.1	72.2	3546	3224110	37.3
HISSP-CM6066	251	9911214	503	217394	31453	39486.91	51	68690	142	25273	39.75	0	4	3	26.4	26.3	0.1	0.1	73.5	3546	2226783	33.9
HISSP-CM6015	1463	19585677	500	140973	6293	13387.34	181	32408	696	6781	40.7	0	8	4	50.2	50.2	0	0.3	49.5	3546	3148269	24.3
HISSP-CM5787	192	7772226	500	290317	21810	40480.34	31	87424	98	21546	33.29	0	6	4	9.8	9.7	0.1	0.1	90.1	3546	8278315	160.8
HISSP-CM5731	519	14187334	500	147598	17049	27335.9	88	51411	274	14849	40.39	0	7	5	38.5	38.4	0.1	0.2	61.3	3546	10575344	112.6
HISSP-CM5678	204	7885250	503	289824	25992	38653.19	37	65864	114	21541	33.9	0	3	4	10.7	10.7	0	0.1	89.2	3546	12488075	239.1
HISSP-B06379	1	8591	8591	8591	8591	8591	1	8591	1	8591	54.44	0	0	0	0	0	0	0	100	3546	0	0
HISSP-B05823	3699	35980859	500	210543	4338	9727.19	401	22963	1718	4986	38.46	0	5	16	55.9	55.9	0	0.4	43.7	3546	9069647	38.1
HISSP-B05821	3691	36858421	500	218548	4448	9986.03	387	23409	1718	5036	38.67	0	5	7	60.6	60.5	0.1	0.3	39.1	3546	9008346	36.7
HISSP-B05593-Histo79	233	4601151	503	101658	12515	19747.43	41	36798	121	11590	35.94	0	3	4	7	7	0	0	93	3546	4223447	138.6
HISSP-B05368	839	15022304	500	95975	11783	17905.01	160	32450	472	8968	42.61	0	9	5	43.3	43.2	0.1	0.1	56.6	3546	5057255	50.8
HISSP-B04188	411	11110545	518	178228	18171	27032.96	72	49648	221	14854	39.07	0	1	5	28.8	28.7	0.1	0	71.2	3546	3365367	45.7
HISSP-B04187	462	10697433	508	136923	14146	23154.62	76	44887	239	13353	38.6	0	3	2	26.5	26.5	0	0.1	73.4	3546	3877145	54.7
HISSP-5254-Belem20	593	12597418	508	162249	11171	21243.54	95	42802	301	10910	38.11	0	8	6	24	24	0	0.2	75.8	3546	7517364	90.1
HISSP-52292-Belem19	213	7469616	529	185332	28189	35068.62	46	58567	127	20867	41.2	0	5	3	20.3	20.2	0.1	0.1	79.6	3546	5660260	114.4
HISSP-5215-Belem18	438	12135573	506	202435	16729	27706.79	72	55064	231	15476	37.74	0	10	4	21.4	21.4	0	0.2	78.4	3546	6958077	86.6
HISSP-4809-Belem13	534	12220377	500	156083	14688	22884.6	91	40720	290	12647	40.02	0	6	3	27.2	27.2	0	0.1	72.7	3546	8809015	108.8
HISSP-47692-Belem14	672	15814629	501	160350	15288	23533.67	118	43626	362	12474	40.18	0	6	4	33.8	33.8	0	0.2	66	3546	11261078	107.5
HISSP-4729-Belem16	721	18081960	512	131225	18007	25079	135	44468	409	13933	40.43	0	6	7	42.1	42	0.1	0.1	57.8	3546	9029981	75.4
HISSP-4516-Belem12	173	6121426	506	205942	24856	35383.97	33	58856	100	20818	38.09	0	5	4	13.6	13.6	0	0.1	86.3	3546	4999933	123.3
HISSP-4337-Belem17	434	10563498	502	197928	14341	24339.86	70	48611	229	13194	37.95	0	7	2	18.3	18.2	0.1	0.1	81.6	3546	6260442	89.5
HISSP-4336-Belem10	636	16157861	503	169251	15947	25405.44	107	47657	343	13899	39.84	0	3	9	32.6	32.6	0	0.2	67.2	3546	9379279	87.7
HISSP-4265-Belem15	592	15868708	500	170913	18027	26805.25	107	48687	334	14208	40.16	0	4	6	35.5	35.4	0.1	0.2	64.3	3546	10066128	95.8
HISSP-4182-Belem9	368	9904996	502	169360	18927	26915.75	68	46049	206	15924	43.16	0	3	6	29.2	29.1	0.1	0.1	70.7	3546	6901547	105.2
HISSP-4107-Belem11	769	18275173	508	183907	14917	23764.85	134	44536	421	12767	41.42	0	9	7	47.3	47.3	0	0.1	52.6	3546	10780572	89.1
HISSP-3948-Belem7	600	14880108	503	191308	15385	24800.18	102	49858	316	13878	38.97	0	6	5	30.3	30.2	0.1	0	69.7	3546	7760654	78.8
HISSP-3865-Belem8	585	16938229	479	324598	20300	28954.24	107	46774	338	15954	40.46	0	6	9	43.5	43.4	0.1	0.3	56.2	3546	12169075	108.5
HISSP-2367H76	144	5864784	516	359700	28769	40727.67	27	64486	86	24431	36.41	1	6	6	11.5	11.5	0	0.1	88.4	3546	2437474	62.8
HISSP-2365H75	1045	11540720	501	149494	3353	11043.75	85	38384	413	5365	41.46	0	6	7	28.4	28.3	0.1	0.1	71.5	3546	3422838	44.8
HISSP-2363H70	992	12539001	501	170806	4145	12640.12	89	40472	402	6132	41.9	0	4	6	31.8	31.7	0.1	0.2	68	3546	4093484	49.3
HISSP-2363-Belem6	498	13450874	503	152787	19528	27009.79	93	47971	277	15495	41.73	0	5	2	35	34.9	0.1	0.1	64.9	3546	8528985	95.7
HISSP-2359H68	1082	12633237	500	132894	3861	11675.82	97	36837	448	5569	41.9	0	8	7	31.5	31.4	0.1	0.1	68.4	3546	3620214	43.3
HISSP-2355H73	173	5831677	525	231135	18314	33709.12	25	75655	87	18314	35.74	0	6	9	10.2	10.2	0	0	89.8	3546	2289272	59.3
HISSP-2352H62	306	9349736	506	140850	18353	30554.69	50	62534	153	18353	36.27	0	6	3	17.5	17.4	0.1	0.1	82.4	3546	2586584	41.8
HISSP-2351H61	269	8099406	501	210365	19356	30109.32	45	54747	140	17076	37.13	0	4	1	15.3	15.3	0	0.1	84.6	3546	2733612	51
HISSP-2350H60-Histo74	298	7408523	506	212202	8799	24860.82	35	68053	116	16060	33.65	0	5	4	8.8	8.8	0	0.1	91.1	3546	6690896	136.4
HISSP-2202-Belem5	427	10379580	515	213791	11759	24308.15	63	53613	206	12972	37.32	0	5	0	17.6	17.6	0	0.1	82.3	3546	5437603	79.1
HISSP-11572-Belem2	653	15027679	503	150937	13109	23013.29	104	48653	340	12194	39.39	0	8	7	30.9	30.9	0	0.1	69	3546	4748456	47.7
HISSP-11571-Belem1	974	21873502	503	154049	14332	22457.39	173	41552	529	12423	41.61	0	10	9	56.9	56.8	0.1	0.2	42.9	3546	6257485	43.2
HISSP-1023-Belem4	8	52527	703	26185	1062	6565.88	2	13865	3	8202	41.18	0	0	0	0	0	0	0	100	3546	370809	1066
HISSP-1014-Belem3	4204	31441025	500	105297	4638	7478.84	694	13222	2412	3680	44.16	0	13	14	92.1	91.9	0.2	2.5	5.4	3546	8700179	41.8
TI01-RJ	470	8830885	500	146870	6497	18789.12	59	51594	181	14762	36.7	0	3	4	17.1	17.1	0	0.1	82.8	3546	6064727	86.5
RS36-RJ	512	9592352	497	140262	7235	18735.06	60	53008	211	10942	37.36	0	4	3	20	20	0	0.1	79.9	3546	6530616	85.8
IT04-RJ	1311	16955965	501	127823	4955	12933.61	154	32647	582	6567	41.13	0	6	4	45.6	45.5	0.1	0.2	54.2	3546	9915158	73.7
AC05-RJ	512	8542081	500	158853	4760	16683.75	55	52777	187	10833	36.6	0	2	3	16	15.9	0.1	0	84	3546	4761743	70.2
RPS35-RJ	396	9523828	500	175573	11283	24050.07	55	59139	172	15159	37.25	0	4	2	21.2	21.1	0.1	0.1	78.7	3546	7066681	93.5
CO4-RJ	650	9288095	501	164500	3891	14289.38	64	44334	237	9000	37.12	0	2	3	19.7	19.7	0	0.1	80.2	3546	4717997	64
39439-RJ	639	11511460	502	149398	7461	18014.8	83	46027	272	11484	38.11	0	1	4	23.4	23.4	0	0.1	76.5	3546	8769884	96
03_16-LAmB	506	6256822	501	179638	2193	12365.26	39	43232	162	7502	36.91	0	5	4	11.1	11.1	0	0.1	88.8	3546	2949062	59.4
09_12	1723	9622181	500	112493	1585	5584.55	106	20455	725	2080	35.54	0	9	2	16	16	0	0.1	83.3	3546	3983149	52.2
01_16	319	6573106	502	141969	9045	20605.35	40	52660	131	12020	31.73	0	3	2	6.3	6.3	0	0.1	93.6	3546	5377173	103.1
07_12-RJ	1448	17181766	501	153211	3581	11865.86	154	36101	577	5932	41.91	0	4	4	50.1	50.1	0	0.2	49.7	3546	8947445	65.6
23_11	646	6866025	502	157202	1310	10628.52	44	46692	169	6870	44.57	0	3	2	21.8	21.8	0	0.2	78	3546	2800710	76.7
23_11_6	730	8661235	504	153146	3208	11864.71	65	39738	277	6403	36.82	0	2	8	17.8	17.8	0	0.2	82	3546	18846314	383.5
28_11-RJ	1665	14204124	503	146518	2402	8531.01	118	33548	687	3208	40.15	0	2	5	36.6	36.5	0.1	0.1	63.3	3546	8681431	77
11_12-LAmB	1779	11417579	501	161189	1300	6417.98	81	40457	641	1941	40.05	1	11	5	29	29	0	0.1	70.9	3546	8308144	91.7
02_14-RJ	1107	11834056	501	116779	2884	10690.2	97	37232	423	4680	39.28	0	2	4	29.5	29.4	0.1	0.1	70.4	3546	7557936	80.5
06_12-RJ	496	9787915	503	156147	8359	19733.7	69	47846	209	12745	37.45	0	3	0	20	20	0	0.2	79.8	3546	8256799	106.3
27_11-RJ	629	11423476	501	159872	7350	18161.33	79	46946	261	12395	37.81	0	6	2	25.9	25.9	0	0.1	74	3546	8054271	88.8
104_p_06	3651	28193345	476	102538	4187	7722.09	532	15995	1860	4019	46.97	1	25	21	95.9	95.6	0.3	0.6	3.5	3546	19140647	102.5
104_P_19	3467	28088513	320	116895	4472	8101.68	513	16103	1793	4202	46.99	1	21	21	96	95.8	0.2	0.3	3.7	3546	18694634	100.5
107_P_06	37	205277	626	25202	4976	5548.03	8	8401	24	2464	43.37	0	0	0	0	0	0	0	100	3546	842722	619.9
109_P_06	7219	55931629	500	84016	4522	7747.84	1134	14702	3959	3691	37.54	0	45	42	89	88.9	0.1	0.7	10.3	3546	24769973	66.9
117_p_12	3615	28341051	367	126426	4238	7839.85	524	16165	1860	4019	46.97	1	19	22	96.7	96.5	0.2	0.4	2.9	3546	18932010	100.9
122_p_10_B	3643	28334556	319	72828	4274	7777.81	538	15677	1889	4015	46.97	2	17	23	96.7	96.4	0.3	0.6	2.7	3546	15058632	80.3
136_P_07	3577	28292880	476	116896	4300	7909.67	517	16054	1840	4061	46.98	1	16	25	96.8	96.6	0.2	0.4	2.8	3546	23126422	123.4
143_P_08	9159	55777786	480	76469	3305	6089.94	1371	11713	5072	2742	37.72	0	47	53	91.2	91.1	0.1	0.9	7.9	3546	16660939	45.1
144_p_08	3569	28083203	476	116966	4190	7868.65	519	15952	1835	3981	46.99	2	23	22	95.6	95.3	0.3	0.6	3.8	3546	17674847	95
1517_p_17	3665	28395703	367	116922	4108	7747.8	518	16035	1863	3970	46.96	1	21	22	96.4	96.1	0.3	0.6	3	3546	18531447	98.5
256_P_18	3474	28295858	319	116903	4321	8145.04	497	16813	1772	4180	46.97	1	16	23	96.4	96.1	0.3	0.6	3	3546	22596378	120.6
316_p_10	3723	28376980	319	116877	4038	7622.07	541	15611	1904	3827	46.96	1	16	25	96.4	96.1	0.3	0.5	3.1	3546	17008562	90.5
327_P_12	3391	28197608	476	87997	4486	8315.43	499	16849	1744	4313	47	1	25	17	95.9	95.5	0.4	0.5	3.6	3546	19465240	104.2
343_p_18	3526	28488269	367	103831	4420	8079.49	525	16453	1836	4105	46.99	1	22	21	97.6	97.3	0.3	0.6	1.8	3546	21985855	116.5
388_p_11	3813	28320630	451	116972	4020	7427.39	547	15140	1958	3789	46.97	1	27	14	96.6	96.3	0.3	0.9	2.5	3546	15442015	82.3
427_P_12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SA1371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ES2_82	644	9907125	500	136318	7691	15383.73	87	32972	322	7691	33.51	0	6	3	4.7	4.7	0	0	95.3	3546	12911915	186.9
ES2_83	669	11766263	504	196630	10001	17587.84	111	34988	354	8945	34.06	0	8	5	9.5	9.5	0	0	90.5	3546	17413699	211.2
ES2_83Z	5444	33084077	500	80217	2587	6077.16	666	13848	2717	2605	41.55	0	12	15	79.8	79.8	0	2.2	18	3546	27567426	123.2
ES2_84	743	11389484	500	128780	8102	15329.05	103	33876	358	8759	33.64	0	5	10	8.6	8.6	0	0	91.4	3546	16068850	209.4
ES2_85	718	9897180	500	139769	7027	13784.37	91	31767	348	7546	33.47	0	3	5	5.9	5.9	0	0	94.1	3546	13205120	196.9
ES2_85Z	5968	28036049	500	111320	1427	4697.73	419	18079	2814	1516	41.82	1	14	8	66.4	64.7	1.7	0.8	32.8	3546	43497738	229.4
ES2_86	1404	15774203	500	146443	5857	11235.19	180	23541	670	6158	33.96	0	5	1	6.4	6.4	0	0.1	93.5	3546	15573549	144.5
ES2_86Z	10593	40317301	500	53861	1783	3806.03	1444	7868	5808	1546	41.42	0	26	11	83.2	83.1	0.1	6.2	10.6	3546	29633077	108.6
ES2_87	10205	61251725	500	224144	2499	6002.13	1068	13864	4906	2688	38.73	1	14	17	71.3	71.3	0	0.2	28.5	3546	20204915	48.2
ES2_87Z	15055	33389011	500	22688	1564	2217.8	3258	3121	10528	1041	35.52	0	7	12	0	0	0	0.3	99.7	3546	23130358	98.4
ES2_88	699	11635560	500	116554	9286	16646.01	108	34622	350	9286	34.19	0	6	2	8.1	8.1	0	0.1	91.8	3546	16549072	204.1
ES2_88Z	4270	25000007	500	98750	1995	5854.8	381	17833	2004	2231	40.42	0	12	10	53.1	53	0.1	0.6	46.3	3546	28665986	170.3
ES2_89	957	14163928	500	198818	6963	14800.34	123	34887	447	8176	39.19	0	3	3	13.6	13.6	0	0.1	86.3	3546	14923483	152.9
ES2_89Z	7187	33826913	500	97621	1733	4706.68	716	12610	3582	1737	43.8	0	17	14	86.5	86.5	0	2.6	10.9	3546	32620382	142.4
ES2_90	757	13990098	501	142922	9652	18480.97	113	40179	374	10014	34.02	0	5	6	10	10	0	0.1	89.9	3546	17285756	179.8
ES2_90Z	11169	35853838	500	37104	2090	3210.12	2119	5036	7226	1449	41.55	1	26	30	69.6	69.6	0	12	18.4	3546	22744925	93.2
ES2_91	8311	39037839	500	62516	2505	4697.13	1231	9174	4619	2036	41.33	0	15	26	83	82.8	0.2	5.4	11.6	3546	26483403	100.2
SA1556	1163	11733079	500	90328	5757	10088.63	171	20244	654	4928	34.64	0	4	0	11.6	11.6	0	0.1	88.3	3546	10271174	130.4
SA15	3520	28117232	500	76677	4488	7987.85	496	15929	1976	3791	43.46	0	12	14	73.1	73	0.1	0.8	26.1	3546	19585570	103.8
SA19	1188	15527415	502	246371	6504	13070.21	161	26892	636	5938	38.58	0	7	2	17.9	17.9	0	0.2	81.9	3546	38148415	366.1
SA4	1156	13663586	502	133655	6438	11819.71	176	23450	646	5624	35.39	0	6	4	15.3	15.3	0	0.1	84.6	3546	38599987	420.9
SA562	4246	23786930	500	146748	2291	5602.2	364	13532	2288	2038	39.12	0	4	3	44.5	44.5	0	0.3	55.2	3546	10536652	66
CB052	1	7721	7721	7721	7721	7721	1	7721	1	7721	54.6	0	0	0	0	0	0	0	0	3546	12816	498
CB053	4524	26667782	500	67348	2583	5894.74	588	13498	2211	2700	45.1	0	17	9	85.2	85.1	0.1	2.8	12	3546	1091217	12.3
CB054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CB055	1	8987	8987	8987	8987	8987	1	8987	1	8987	55.81	0	0	0	0	0	0	0	100	3546	13748	458.9
CB056	1	7933	7933	7933	7933	7933	1	7933	1	7933	55.14	0	0	0	0	0	0	0	100	3546	12663	478.9
CB062	6227	28817514	456	50353	2870	4627.83	1073	8146	3646	2152	46.04	0	18	12	90.5	90.4	0.1	3	6.5	3546	1236891	12.9
CB063	7302	28864442	500	42949	2526	3952.95	1328	6575	4510	1782	46.1	1	26	20	87.2	87.1	0.1	5.8	7	3546	1169979	12.2
CB064	67	390161	500	27286	2878	5823.3	11	12703	33	2923	48.44	0	1	2	0.5	0.5	0	0.1	99.9	3546	161268	124
CB065	39	193515	513	28626	2288	4961.92	7	9647	20	2288	48	0	0	0	0.2	0.2	0	0	99.9	3546	119723	185.6
CB066	6722	29117842	473	43559	2638	4331.72	1167	7558	4001	1983	46.03	1	26	19	89.8	89.7	0.1	4.1	6.1	3546	1198004	12.3
CB138	12997	10083388	500	2764	693	775.82	4822	773	11069	547	44.69	0	42	26	1.7	1.7	0	6	92.3	3546	161623	4.8
CB144	8267	6015816	500	2592	656	727.69	3182	713	7105	536	44.17	1	25	34	0.8	0.8	0	3.1	96.1	3546	74297	3.7
CB150	10254	7685073	483	3498	674	749.47	3884	739	8774	540	44.04	0	32	26	0.8	0.8	0	4.4	94.2	3546	106393	4.2
CB156	16429	13568738	500	3880	725	825.9	5878	830	13871	563	45.09	0	47	35	5.3	5.3	0	9.7	85	3546	229744	5.1
CB162	12152	9230244	500	3007	681	759.57	4566	754	10379	542	44.62	1	33	38	1.6	1.6	0	5.7	92.3	3546	127831	4.2
CB168	58	231878	443	29288	1576	3997.9	9	7876	30	1484	49.76	0	2	0	0.3	0.3	0	0	99.7	3546	141909	183.6
CB174	46	222750	408	24002	1966	4842.39	7	11942	23	1966	47.82	0	0	0	0.2	0.2	0	0	99.8	3546	134413	181
CB180	6161	28864070	498	49293	2956	4684.97	1082	8184	3660	2186	46.05	0	15	18	90.6	90.5	0.1	3.1	6.3	3546	1290466	13.4
CB186	57	220225	503	23307	1355	3863.6	9	8377	28	1389	49.42	0	1	0	0.2	0.2	0	0	99.8	3546	101530	138.3
CB192	36	172411	506	20884	1942	4789.19	6	11400	17	2180	48.83	0	0	0	0.1	0.1	0	0	99.9	3546	113109	196.8
CB052-2	2996	25443333	500	90440	4700	8492.43	463	17218	1576	4251	44.8	0	9	9	80.8	80.6	0.2	1.4	17.8	3546	1442190	17
CB053-2	2930	23373034	499	85919	3106	7977.14	369	19749	1355	3758	44.09	0	11	10	72.7	72.5	0.2	0.7	26.6	3546	1528309	19.6
CB054-2	2	13473	5464	8009	8009	6736.5	1	8009	2	5464	53.61	0	0	0	0	0	0	0	100	3546	13518	301
CB055-2	3154	23554541	497	73603	2826	7468.15	405	18827	1406	3864	45.63	0	13	7	78.5	78.4	0.1	1.2	20.3	3546	1299349	16.5
CB056-2	3229	25013761	500	76393	3622	7746.6	444	17835	1577	3797	44.58	0	9	14	79.6	79.5	0.1	1.4	19	3546	1439668	17.3
CB062-2	4363	28418278	452	72826	3767	6513.47	683	12546	2360	3263	46	1	10	11	91.6	91.5	0.1	1	7.4	3546	1958033	20.7
CB063-2	4470	28326685	500	67846	3685	6337.07	711	12037	2462	3054	46.01	0	15	17	91	90.9	0.1	1.2	7.8	3546	1897144	20.1
CB064-2	4965	28278435	500	51146	3626	5695.56	862	9854	2888	2770	46.1	0	12	17	89.8	89.7	0.1	2.9	7.3	3546	1604128	17
CB065-2	5760	28804712	498	56250	3120	5000.82	997	8778	3360	2374	45.98	0	13	20	89	88.9	0.1	3.4	7.6	3546	1523376	15.9
CB066-2	4461	28299319	422	64274	3654	6343.72	700	12241	2424	3110	45.99	1	10	17	90.4	90.3	0.1	1.1	8.5	3546	1891604	20.1
CB138-2	18873	15583458	500	3812	728	825.7	6768	831	15942	566	44.54	0	54	47	4.1	4.1	0	10.8	5.3	3546	324811	6.3
CB144-2	13537	10314488	500	3425	683	761.95	5077	754	11557	544	44.13	0	31	34	2.1	2.1	0	5.6	92.3	3546	150483	4.4
CB150-2	14184	11141308	500	4134	698	785.48	5224	785	12059	551	44.2	0	36	42	2.5	2.5	0	7.2	90.3	3546	179425	4.8
CB156-2	688	888962	500	8442	910	1292.1	164	1604	531	645	46.78	0	3	0	1	1	0	0.7	98.9	3546	65050	22
CB162-2	17290	13967865	500	3721	713	807.86	6250	811	14641	556	44.51	0	43	48	3.3	3.3	0	8.9	87.8	3546	235727	5.1
CB168-2	5359	28285342	454	49087	3114	5278.1	889	9568	3052	2496	46.14	0	15	17	89.9	89.8	0.1	2.2	7.9	3546	1626516	17.3
CB174-2	4596	28132342	470	60429	3727	6121.05	763	11193	2593	2991	46.02	0	14	15	89.5	89.4	0.1	1.6	8.9	3546	1795498	19.1
CB180-2	4313	28289016	499	72337	3903	6559.01	692	12388	2379	3263	45.98	1	11	11	90.6	90.6	0	1	8.4	3546	2055512	21.8
CB186-2	5415	27813779	498	57793	3432	5136.43	1010	8548	3308	2472	46.13	0	18	19	87.7	87.6	0.1	3.6	8.7	3546	1265532	13.7
CB192-2	4711	28434369	500	59107	3683	6035.74	793	11066	2668	2919	46.03	0	17	5	90.9	90.8	0.1	1.5	7.6	3546	1811199	19.1
Dr_Anuradha_Fungal_WGS_S11	3955	28423343	500	90900	3776	7186.69	567	14882	2022	3605	47	2	17	22	97.6	97.3	0.3	0.6	1.8	3546	19290215	102.5
Dr_Anuradha_Fungal_WGS_S13	13212	55705537	498	72522	2373	4216.28	2107	7710	7794	1827	38.23	1	63	60	90.7	90	0.7	3.7	5.6	3546	20411664	55.3
Dr_Anuradha_Fungal_WGS_S14	3303	28101030	394	116904	4568	8507.73	480	17511	1693	4373	47.04	2	18	26	96.1	95.8	0.3	0.6	3.3	3546	16589595	89.1
Dr_Anuradha_Fungal_WGS_S15																						
Dr_Anuradha_Fungal_WGS_S16	4302	28051559	500	116884	3154	6520.59	584	13979	2159	3129	46.96	1	18	27	95.9	95.8	0.1	0.9	3.2	3546	14022253	75.5
